original_name	col	color	idx	row	sample	tissue	zoom
Mar22bS1C1R3_VLPAGl_200x_y.TIF	C1	y	Mar22b	R3	S1	VLPAGl	200x
Mar22bS1C2R4_DMl_200x_g.TIF	C2	g	Mar22b	R4	S1	DMl	200x
Mar22bS1C2R4_DMl_200x_y.TIF	C2	y	Mar22b	R4	S1	DMl	200x
Mar22bS1C4R3_DMl_200x_g.TIF	C4	g	Mar22b	R3	S1	DMl	200x
Mar22bS1C2R4_DMr_200x_g.TIF	C2	g	Mar22b	R4	S1	DMr	200x
Mar22bS2C1R1_LHr_200x_g.TIF	C1	g	Mar22b	R1	S2	LHr	200x
Mar22bS1C4R3_LHr_200x_g.TIF	C4	g	Mar22b	R3	S1	LHr	200x
Mar22bS1C3R2_DMl_200x_g.TIF	C3	g	Mar22b	R2	S1	DMl	200x
Mar22bS1C1R3_VLPAGr_200x_y.TIF	C1	y	Mar22b	R3	S1	VLPAGr	200x
Mar22bS1C4R1_LHr_200x_y.TIF	C4	y	Mar22b	R1	S1	LHr	200x
Mar22bS1C4R3_LHr_200x_y.TIF	C4	y	Mar22b	R3	S1	LHr	200x
Mar22bS2C1R1_LHr_200x_y.TIF	C1	y	Mar22b	R1	S2	LHr	200x
Mar22bS1C3R3_DMr_200x_y.TIF	C3	y	Mar22b	R3	S1	DMr	200x
Mar22bS1C3R3_LHl_200x_g.TIF	C3	g	Mar22b	R3	S1	LHl	200x
Mar22bS1C5R1_LHl_200x_g.TIF	C5	g	Mar22b	R1	S1	LHl	200x
Mar22bS1C3R3_LHr_200x_g.TIF	C3	g	Mar22b	R3	S1	LHr	200x
Mar22bS2C1R1_LHl_200x_g.TIF	C1	g	Mar22b	R1	S2	LHl	200x
Mar22bS2C1R1_LHl_200x_y.TIF	C1	y	Mar22b	R1	S2	LHl	200x
Mar22bS1C4R1_LHl_200x_y.TIF	C4	y	Mar22b	R1	S1	LHl	200x
Mar22bS1C3R2_DMl_200x_y.TIF	C3	y	Mar22b	R2	S1	DMl	200x
Mar27bS1C3R1_LHr_200x_g.TIF	C3	g	Mar27b	R1	S1	LHr	200x
Mar27bS1C2R1_LHr_200x_y.TIF	C2	y	Mar27b	R1	S1	LHr	200x
Mar27bS1C3R1_LHl_200x_g.TIF	C3	g	Mar27b	R1	S1	LHl	200x
Mar27bS1C3R1_LHl_200x_y.TIF	C3	y	Mar27b	R1	S1	LHl	200x
Mar27bS1C1R3_VLPAGr_200x_y.TIF	C1	y	Mar27b	R3	S1	VLPAGr	200x
Mar27bS1C2R3_LHr_200x_y.TIF	C2	y	Mar27b	R3	S1	LHr	200x
Mar27bS1C1R3_VLPAGr_200x_g.TIF	C1	g	Mar27b	R3	S1	VLPAGr	200x
Mar27bS1C2R2_LHr_200x_y.TIF	C2	y	Mar27b	R2	S1	LHr	200x
Mar27bS1C2R1_LHr_200x_g.TIF	C2	g	Mar27b	R1	S1	LHr	200x
Mar27bS1C2R3_LHr_200x_g.TIF	C2	g	Mar27b	R3	S1	LHr	200x
Mar27bS1C2R1_LHl_200x_g.TIF	C2	g	Mar27b	R1	S1	LHl	200x
Mar27bS1C2R1_LHl_200x_y.TIF	C2	y	Mar27b	R1	S1	LHl	200x
Mar27bS1C3R1_LHr_200x_y.TIF	C3	y	Mar27b	R1	S1	LHr	200x
Mar27bS1C2R2_LHr_200x_g.TIF	C2	g	Mar27b	R2	S1	LHr	200x
RT418S7C1R1_VLPAG_100x_g.TIF	C1	g	RT418	R1	S7	VLPAG	100x
RT418S4C3R1_LH_100x_g.TIF	C3	g	RT418	R1	S4	LH	100x
RT418S4C3R1_DM_100x_g.TIF	C3	g	RT418	R1	S4	DM	100x
RT418S2C2R2_Septum_100x_g.TIF	C2	g	RT418	R2	S2	Septum	100x
RT418S4C1R1_ParCort_100x_g.TIF	C1	g	RT418	R1	S4	ParCort	100x
RT418S6C1R2_MM_100x_g.TIF	C1	g	RT418	R2	S6	MM	100x
RT418S9C2R1_RVLM_100x_g.TIF	C2	g	RT418	R1	S9	RVLM	100x
Mar24bS1C2R3_LHl_200x_y.TIF	C2	y	Mar24b	R3	S1	LHl	200x
Mar24bS1C2R3_DMr_200x_y.TIF	C2	y	Mar24b	R3	S1	DMr	200x
Mar24bS1C2R2_LHl_200x_g.TIF	C2	g	Mar24b	R2	S1	LHl	200x
Mar24bS2C4R3_LHl_200x_y.TIF	C4	y	Mar24b	R3	S2	LHl	200x
Mar24bS1C1R1_DMr_200x_y.TIF	C1	y	Mar24b	R1	S1	DMr	200x
Mar24bS1C1R1_LHl_200x_y.TIF	C1	y	Mar24b	R1	S1	LHl	200x
Mar24bS2C4R3_DMr_200x_g.TIF	C4	g	Mar24b	R3	S2	DMr	200x
Mar24bS1C1R2_DMl_200x_g.TIF	C1	g	Mar24b	R2	S1	DMl	200x
Mar24bS1C2R2_LHr_200x_g.TIF	C2	g	Mar24b	R2	S1	LHr	200x
Mar24bS2C1R3_VLPAGr_200x_y.TIF	C1	y	Mar24b	R3	S2	VLPAGr	200x
Mar24bS1C2R2_DMr_200x_y.TIF	C2	y	Mar24b	R2	S1	DMr	200x
Mar24bS1C1R1_DMl_200x_g.TIF	C1	g	Mar24b	R1	S1	DMl	200x
Mar24bS1C2R1_LHr_200x_g.TIF	C2	g	Mar24b	R1	S1	LHr	200x
Mar24bS1C2R1_DMl_200x_g.TIF	C2	g	Mar24b	R1	S1	DMl	200x
Mar24bS1C1R1_DMl_200x_y.TIF	C1	y	Mar24b	R1	S1	DMl	200x
Mar24bS1C2R3_DMl_200x_y.TIF	C2	y	Mar24b	R3	S1	DMl	200x
Mar24bS2C2R3_VLPAGl_200x_y.TIF	C2	y	Mar24b	R3	S2	VLPAGl	200x
Mar24bS1C1R1_LHr_200x_y.TIF	C1	y	Mar24b	R1	S1	LHr	200x
Mar24bS2C4R3_DMl_200x_g.TIF	C4	g	Mar24b	R3	S2	DMl	200x
Mar24bS1C3R1_LHl_200x_y.TIF	C3	y	Mar24b	R1	S1	LHl	200x
Mar24bS1C2R1_LHl_200x_g.TIF	C2	g	Mar24b	R1	S1	LHl	200x
Mar24bS2C2R2_VLPAGr_200x_y.TIF	C2	y	Mar24b	R2	S2	VLPAGr	200x
Mar24bS1C1R2_LHl_200x_y.TIF	C1	y	Mar24b	R2	S1	LHl	200x
Mar24bS2C1R3_VLPAGr_200x_g.TIF	C1	g	Mar24b	R3	S2	VLPAGr	200x
Mar24bS1C2R2_DMl_200x_g.TIF	C2	g	Mar24b	R2	S1	DMl	200x
Mar24bS2C2R2_VLPAGr_200x_g.TIF	C2	g	Mar24b	R2	S2	VLPAGr	200x
Mar24bS2C2R3_VLPAGr_200x_y.TIF	C2	y	Mar24b	R3	S2	VLPAGr	200x
Mar24bS2C2R3_VLPAGr_200x_g.TIF	C2	g	Mar24b	R3	S2	VLPAGr	200x
Mar24bS1C3R1_LHr_200x_g.TIF	C3	g	Mar24b	R1	S1	LHr	200x
Mar24bS1C2R3_LHr_200x_g.TIF	C2	g	Mar24b	R3	S1	LHr	200x
Mar24bS1C2R2_LHr_200x_y.TIF	C2	y	Mar24b	R2	S1	LHr	200x
Mar24bS2C1R3_VLPAGl_200x_g.TIF	C1	g	Mar24b	R3	S2	VLPAGl	200x
Mar24bS2C2R2_VLPAGl_200x_y.TIF	C2	y	Mar24b	R2	S2	VLPAGl	200x
Mar24bS1C3R2_LHl_200x_g.TIF	C3	g	Mar24b	R2	S1	LHl	200x
Mar24bS1C1R2_DMr_200x_g.TIF	C1	g	Mar24b	R2	S1	DMr	200x
Mar24bS1C2R1_LHr_200x_y.TIF	C2	y	Mar24b	R1	S1	LHr	200x
Mar24bS1C2R3_DMr_200x_g.TIF	C2	g	Mar24b	R3	S1	DMr	200x
Mar24bS2C2R3_VLPAGl_200x_g.TIF	C2	g	Mar24b	R3	S2	VLPAGl	200x
Mar24bS2C4R3_LHl_200x_g.TIF	C4	g	Mar24b	R3	S2	LHl	200x
Mar24bS2C2R2_VLPAGl_200x_g.TIF	C2	g	Mar24b	R2	S2	VLPAGl	200x
